case_id	layer	ud_stanza_signal	example	focus_span	proposed_remapping	remapping_rule_to_check	expected_decision	correct_mapping	reference_note	martin_comment	source_item_id
SE-OC-05	Sentence element	object + -ing clause	We found her sitting on the porch.	sitting on the porch	OC = Object Complement	-ing predication after an object maps to OC.	Rule-based OK	OC	The -ing clause describes the object her.		w07_oc_05
SE-OC-06	Sentence element	object + wh-clause predicative complement	You may call it what you like.	what you like	OC = Object Complement	Predicative complement of object it maps to OC.	Rule-based OK	OC	The complement gives the name/description assigned to the object.		w07_oc_06
SE-A-01	Sentence element	advmod	They fought bravely.	bravely	A = Adverbial	Adverbial modifier maps to A.	OK	A	Direct adverbial mapping.		w07_a_01
SE-A-02	Sentence element	obl: prepositional phrase	He jumped for joy.	for joy	A = Adverbial	Non-core oblique PP maps to A when it modifies the event.	Rule-based OK	A	Function is adverbial, regardless of PP form.		w07_a_02
SE-A-03	Sentence element	temporal/duration phrase	The journey lasted an entire month.	an entire month	A = Adverbial	Duration phrase maps to A even if UD treatment varies.	Needs manual review	A	Duration objects are a common edge case for automatic mapping.		w07_a_03
SE-A-04	Sentence element	locative/directional adverbial	Yesterday I helped my brother prepare lunch.	Yesterday	A = Adverbial	Temporal adverbial maps to A.	OK	A	Fronted position does not affect function.		w05_ex1_03
SE-A-05	Sentence element	to-infinitival purpose clause	The emigrant returned home to die.	to die	A = Adverbial	Purpose infinitive maps to A.	Rule-based OK	A	Non-finite clause expresses purpose.	Tukaj bi moral biti tudi home označen kot A.	w07_a_04
SE-A-06	Sentence element	advcl: finite adverbial clause	He was late because the traffic was so dense.	because the traffic was so dense	A = Adverbial	Finite adverbial clause maps to A.	Rule-based OK	A	because marks a causal adverbial clause.		w07_a_05
SE-A-07	Sentence element	non-finite/reduced adverbial clause	Knowing my temper, I didn't reply.	Knowing my temper	A = Adverbial	Reduced adverbial clause maps to A.	Rule-based OK	A	The clause gives background/reason information.		w10_ex1_10
CL-MAIN-01	Subordination	root clause	She telephoned while you were out.	She telephoned	MAIN = Main clause	The root clause maps to the main clause layer.	OK	MAIN	The subordinate clause is embedded under the main clause.		w10_ex1_01
CL-NOM-01	Subordination	ccomp + mark=that	I noticed that he spoke English with an Australian accent.	that he spoke English with an Australian accent	NOM-CL + FUNCTION: DO	Finite content clause maps to nominal clause; function is derived from attachment.	Rule-based OK	Nominal clause functioning as DO	ccomp alone is not enough; the higher verb decides the function.		w10_ex1_09
CL-NOM-02	Subordination	ccomp without overt marker	I think you have some influence on her.	you have some influence on her	NOM-CL + FUNCTION: DO	Zero-that content clause maps to nominal clause.	Rule-based OK	Nominal clause functioning as DO	The marker is zero, but the clause type remains nominal/content.		w10_ex1_04
CL-NOM-03	Subordination	coordinated ccomp clauses	I have heard that you are a car mechanic and that your brother is a plumber.	that you are a car mechanic / that your brother is a plumber	Two NOM-CL instances + FUNCTION: DO	Each coordinated content clause should be represented separately.	Rule-based OK	Two nominal clauses functioning together as DO	The remapper should not collapse coordinated subordinate clauses into one opaque span.		w10_ex1_02
CL-NOM-04	Subordination	csubj: fused relative / wh-clause	What you want is impossible.	What you want	NOM-CL + FUNCTION: S	Wh/fused relative clause can function as subject.	Rule-based OK	Nominal clause functioning as S	The clause fills the subject position.	"""Wh/fused relative""? To je ponovno nominal relative clause (same as #7)."	w11_ex2_07
CL-NOM-05	Subordination	csubj + mark=whether	Whether he will agree is not certain.	Whether he will agree	NOM-CL + FUNCTION: S	Whether-clause can function as subject.	Rule-based OK	Nominal clause functioning as S	The clause is nominal in type and subject in function.	Mi to imenujemo dependent verbal question.	w11_ex2_04
CL-NOM-06	Subordination	content noun + that-clause	The fact that he is now old and weak must be taken into consideration.	that he is now old and weak	NOM-CL + FUNCTION: postmodifier	Content clause after a noun maps to nominal clause and postmodifier function.	Rule-based OK	Nominal content clause functioning as postmodifier	The clause modifies fact.	To je v bistvu appositive clause, ki se nekoliko razlikuje od klasičnih PostM.	w11_ex2_02
CL-NOM-07	Subordination	content noun + whether-clause	The question whether the atom can or cannot be split has interested scientists for decades.	whether the atom can or cannot be split	NOM-CL + FUNCTION: postmodifier	Whether content clause after a noun maps to postmodifier.	Rule-based OK	Nominal content clause functioning as postmodifier	The clause modifies question.	ditto	w11_ex2_06
CL-NOM-08	Subordination	copular predicate content clause	My advice is that you should apply for the job.	that you should apply for the job	NOM-CL + FUNCTION: SC	Predicative content clause maps to subject complement.	Rule-based OK	Nominal clause functioning as SC	The clause is predicative after the copula.		w11_ex2_03
CL-NOM-09	Subordination	adjective complement clause	I am not sure what he wants.	what he wants	NOM-CL + FUNCTION: adjective complement / review	Adjective complements are nominal clauses, but their sentence-element function needs a policy decision.	Needs manual review	Nominal clause complementing adjective sure	This may not map cleanly to S/DO/SC/A/postmodifier.	V tem primeru ima funkcijo PostM (pridevnika sure).	w11_ex2_10
CL-NOM-10	Subordination	adjective complement that-clause	I am sorry that I couldn't meet you at the station.	that I couldn't meet you at the station	NOM-CL + FUNCTION: adjective complement / review	That-clause after an adjective should be retained as a nominal clause, with function reviewed.	Needs manual review	Nominal clause complementing adjective sorry	Course policy should decide how to label this function.	ditto	w11_ex2_12
CL-ADV-01	Subordination	advcl + mark=while	She telephoned while you were out.	while you were out	ADV-CL + FUNCTION: A	Temporal while-clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	The marker supplies temporal subtype.	"Namesto ""maps to adverbial clause"" bi moralo biti ""maps to A""?"	w10_ex1_01
CL-ADV-02	Subordination	advcl + mark=because	I can't go out with you because I am studying this evening.	because I am studying this evening	ADV-CL + FUNCTION: A	Causal because-clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	The clause gives reason/cause.	ditto	w10_ex1_08
CL-ADV-03	Subordination	advcl + mark=since	Since it is your fault, you should apologize.	Since it is your fault	ADV-CL + FUNCTION: A	Causal since-clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	since is causal here, not temporal.	ditto	w11_ex3_04
CL-ADV-04	Subordination	advcl + mark=if	If it weren't so cold, it would be nice.	If it weren't so cold	ADV-CL + FUNCTION: A	Conditional if-clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Marker gives conditional subtype.	ditto	w11_ex3_03
CL-ADV-05	Subordination	advcl + mark=unless	Unless she studies harder, she won't pass the exam.	Unless she studies harder	ADV-CL + FUNCTION: A	Negative conditional unless-clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Marker gives negative condition subtype.	ditto	w11_ex3_06
CL-ADV-06	Subordination	advcl + mark=although	Although it was cold and rainy, we enjoyed the trip.	Although it was cold and rainy	ADV-CL + FUNCTION: A	Concessive although-clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Marker gives concessive subtype.	ditto	w11_ex3_08
CL-ADV-07	Subordination	advcl + marker=so that	They are working night and day so that they may open the subway at the scheduled time.	so that they may open the subway at the scheduled time	ADV-CL + FUNCTION: A	Purpose/result so-that clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Subtype should be inferred from context and marker.	"ditto + samo ""purpose"" (result/consequence je druga vrsta)"	w12_ex5_18
CL-ADV-08	Subordination	advcl + marker=wherever	Wherever he went, he was welcome.	Wherever he went	ADV-CL + FUNCTION: A	Place/free-choice wherever-clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Marker gives place/free-choice subtype.	ditto	w11_ex3_05
CL-ADV-09	Subordination	advcl + marker=as if	He spends his money as if he were rich.	as if he were rich	ADV-CL + FUNCTION: A	Manner/comparison as-if clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Subtype should be retained if the course uses it.		w11_ex3_10
CL-ADV-10	Subordination	comparative clause	She was as friendly as she had ever been.	as she had ever been	ADV-CL + FUNCTION: A	Comparative clause maps to adverbial/comparative clause.	Needs manual review	Comparative subordinate clause functioning as A	Comparatives are often parsed differently and should be checked.	"Ta v resnici nima funkcije stavčnega člena (A), ampak je PostM (pridevniku ""friendly"")."	w11_ex3_11
CL-ADV-11	Subordination	non-finite -ing clause	Entering the room, he noticed that the windows were open.	Entering the room	ADV-CL + FUNCTION: A	-ing adverbial clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Non-finite structure should be recorded.	Ker gre za supplementive clause (ki je non-finite), je včasih težko določiti vrsto A.	w11_ex3_01
CL-ADV-12	Subordination	preposition + -ing clause	On arriving at the cottage, Tom found it burnt down.	On arriving at the cottage	ADV-CL + FUNCTION: A	Prepositional -ing clause maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	The preposition is part of the marker/structure cue.		w11_ex3_07
CL-ADV-13	Subordination	to-infinitival purpose clause	She rang up her mother to ask her to dinner.	to ask her to dinner	ADV-CL + FUNCTION: A	Purpose infinitive maps to adverbial clause.	Rule-based OK	Adverbial clause functioning as A	Non-finite purpose clause.		w11_ex3_09
CL-ADV-14	Subordination	verbless/reduced clause	Although always helpful, he was not much liked.	Although always helpful	ADV-CL + FUNCTION: A	Verbless concessive clause maps to adverbial clause.	Needs manual review	Reduced adverbial clause functioning as A	Automatic parsers may not expose this as a full clause consistently.		w10_ex1_05
CL-ADV-15	Subordination	reduced even-if clause	Even if still working, the engine is not reliable.	Even if still working	ADV-CL + FUNCTION: A	Reduced conditional/concessive clause maps to adverbial clause.	Needs manual review	Reduced adverbial clause functioning as A	Marker and missing verb make this a review case.		w12_ex5_20
CL-REL-01	Subordination	acl:relcl + who	Students who work hard pass their exams.	who work hard	REL-CL + FUNCTION: postmodifier	Relative clause maps to postmodifier of the noun.	Rule-based OK	Restrictive relative clause functioning as postmodifier	who marks the relative clause; it restricts students.		w12_ex5_10
CL-REL-02	Subordination	acl:relcl with zero marker	The record I am listening to is a present from Moscow.	I am listening to	REL-CL + FUNCTION: postmodifier	Zero relative clause maps to relative postmodifier.	Needs manual review	Restrictive zero relative clause functioning as postmodifier	Zero relatives require span recovery beyond the overt marker.		w12_ex4_02
CL-REL-03	Subordination	acl:relcl + prepositional relative pronoun	Our granny of whom we were very fond died unexpectedly.	of whom we were very fond	REL-CL + FUNCTION: postmodifier	Prepositional relative pronoun maps to relative clause.	Rule-based OK	Relative clause functioning as postmodifier	The marker is complex: preposition + whom.		w12_ex4_06
CL-REL-04	Subordination	acl:relcl + relative adverb why	I could see no reason why I should refuse a drink.	why I should refuse a drink	REL-CL + FUNCTION: postmodifier	Relative adverb why maps to relative clause.	Rule-based OK	Relative clause functioning as postmodifier	The clause modifies reason.		w12_ex4_05
CL-REL-05	Subordination	acl:relcl + relative adverb where	We could find no place where we could talk in peace.	where we could talk in peace	REL-CL + FUNCTION: postmodifier	Relative adverb where maps to relative clause.	Rule-based OK	Relative clause functioning as postmodifier	The clause modifies place.		w12_ex4_07
CL-REL-06	Subordination	acl:relcl + which	I liked the present which Mrs. Thompson sent me.	which Mrs. Thompson sent me	REL-CL + FUNCTION: postmodifier	Which-relative maps to relative postmodifier.	Rule-based OK	Restrictive relative clause functioning as postmodifier	which is the relative marker.		w12_ex4_08
CL-REL-07	Subordination	zero relative after noun	He is no longer the man he was.	he was	REL-CL + FUNCTION: postmodifier	Zero relative clause maps to postmodifier.	Needs manual review	Relative clause functioning as postmodifier	Zero marker and predicative content make automatic recovery non-trivial.		w12_ex4_01
CL-REL-08	Subordination	restrictive relative	Any person who wishes to see me must take an appointment.	who wishes to see me	RESTRICTIVENESS: restrictive	Restrictive relatives narrow the reference of the antecedent.	Rule-based OK	Restrictive relative clause	No commas and semantic restriction support restrictive interpretation.	 maps to PostM	w12_ex5_14
CL-REL-09	Subordination	non-restrictive relative	The giant panda, which is to be found in the remote parts of China, lives exclusively on bamboo shoots.	which is to be found in the remote parts of China	RESTRICTIVENESS: non-restrictive	Non-restrictive relatives add parenthetical information.	Rule-based OK	Non-restrictive relative clause	Commas and appositive meaning support non-restrictive interpretation.		w12_ex5_07
CL-REL-10	Subordination	relative clause with removed/uncertain punctuation	The following day which was Friday he left for Belgrade.	which was Friday	RESTRICTIVENESS: manual review	Restrictiveness cannot be reliably inferred when punctuation is unreliable or removed.	Needs manual review	Probably non-restrictive, but manual review required	Do not rely only on punctuation for this exercise type.	Čeprav je brez vejic, gre za non-restrictive clause.	w12_ex4_03
CL-MARK-01	Subordination marker	mark=that	She said that she had lost her purse.	that	MARKER: complementizer	that in a content clause maps to complementizer marker.	OK	Complementizer	Marker type, not sentence-element function.	#82-#92 ne razumem 🤔	w05_do_05
CL-MARK-02	Subordination marker	mark=whether	Time will show whether we are right or wrong.	whether	MARKER: complementizer / interrogative subordinator	whether marks an embedded interrogative/content clause.	OK	Complementizer / interrogative subordinator	Keep marker type separate from clause function.		w11_ex2_01
CL-MARK-03	Subordination marker	mark=if in nominal clause	The question is if he feels up to the task.	if	MARKER: complementizer / interrogative subordinator	if can mark an embedded interrogative/content clause.	Needs manual review	Complementizer / interrogative subordinator	if must be distinguished from conditional if.		w11_ex2_08
CL-MARK-04	Subordination marker	mark=if in adverbial clause	If it weren't so cold, it would be nice.	If	MARKER: subordinating conjunction	conditional if maps to subordinating conjunction marker.	OK	Subordinating conjunction	Different function from nominal if.		w11_ex3_03
CL-MARK-05	Subordination marker	mark=because/since/as	As it was raining, we stayed indoors all day.	As	MARKER: subordinating conjunction	Causal adverbial markers map to subordinating conjunction.	OK	Subordinating conjunction	The lexical marker helps infer adverbial subtype.		w12_ex5_09
CL-MARK-06	Subordination marker	mark=although/while/even if	While he has invested a lot of money in paintings, he doesn't understand very much about art.	While	MARKER: subordinating conjunction	Concessive adverbial markers map to subordinating conjunction.	OK	Subordinating conjunction	while here is concessive, not temporal.		w12_ex5_19
CL-MARK-07	Subordination marker	relative pronoun	Students who work hard pass their exams.	who	MARKER: relative pronoun	Relative pronoun maps to relative marker type.	OK	Relative pronoun	Marker type should be stored separately from clause function.		w12_ex5_10
CL-MARK-08	Subordination marker	relative adverb	We could find no place where we could talk in peace.	where	MARKER: relative adverb	Relative adverb maps to relative marker type.	OK	Relative adverb	The clause remains REL-CL; where is the marker type.		w12_ex4_07
CL-MARK-09	Subordination marker	mark=to	The best thing would be to tell everybody.	to	MARKER: infinitival marker	to maps to infinitival marker when introducing a non-finite clause.	OK	Infinitival marker	Marker type should not be confused with preposition to.		w10_ex1_06
CL-MARK-10	Subordination marker	zero marker	He said he had lost his mind.	zero	MARKER: zero	Omitted complementizer or relative marker should be represented as zero.	Needs manual review	Zero marker	Zero markers must be recovered; they are not explicit tokens.		w05_ex1_05
CL-STR-01	Clause structure	finite that-clause	He promised that every question would be answered.	that every question would be answered	STRUCTURE: finite that-clause	mark=that + finite verb maps to finite that-clause.	Rule-based OK	finite that-clause	Finite structure should be recorded independently of function.	ditto @ #93-#102	w12_ex5_08
CL-STR-02	Clause structure	finite bare declarative content clause	I think you have some influence on her.	you have some influence on her	STRUCTURE: finite zero-that clause	Finite content clause without overt that maps to zero-that structure.	Rule-based OK	finite zero-that clause	Requires zero-marker recovery.		w10_ex1_04
CL-STR-03	Clause structure	finite wh-clause	How the accident happened is a mystery.	How the accident happened	STRUCTURE: finite wh-clause	Wh-word + finite verb maps to wh-clause structure.	OK	finite wh-clause	Function is S in this example.		w12_ex5_06
CL-STR-04	Clause structure	finite whether/if-clause	I am not sure whether that will come out all right.	whether that will come out all right	STRUCTURE: finite whether/if-clause	whether/if + finite verb maps to whether/if-clause structure.	OK	finite whether/if-clause	Function requires context.		w12_ex5_04
CL-STR-05	Clause structure	to-infinitival clause	The best thing would be to tell everybody.	to tell everybody	STRUCTURE: to-infinitival clause	to + infinitive maps to to-infinitival structure.	OK	to-infinitival clause	Function is SC in this example.		w10_ex1_06
CL-STR-06	Clause structure	bare infinitival clause	I heard her sing.	sing	STRUCTURE: bare infinitival clause	Bare infinitive after perception verb maps to bare infinitival structure.	Needs manual review	bare infinitival clause	UD parser output and course policy may vary.		w07_oc_04
CL-STR-07	Clause structure	-ing clause	Knowing my temper, I didn't reply.	Knowing my temper	STRUCTURE: -ing clause	-ing verb form maps to -ing clause structure.	OK	-ing clause	Function is A in this example.		w10_ex1_10
CL-STR-08	Clause structure	preposition + -ing clause	He left without saying goodbye.	without saying goodbye	STRUCTURE: preposition + -ing clause	Preposition plus -ing form maps to prepositional -ing clause structure.	OK	preposition + -ing clause	Function is A in this example.		w12_ex5_11
CL-STR-09	Clause structure	verbless/reduced clause	Too nervous to reply, he stared at the floor.	Too nervous to reply	STRUCTURE: reduced/verbless clause	Reduced adjective-based clause maps to reduced/verbless structure.	Needs manual review	reduced/verbless clause	Automatic parsing may not yield a clean clause span.		w10_ex1_07
CL-STR-10	Clause structure	comparative clause	She was as friendly as she had ever been.	as she had ever been	STRUCTURE: comparative clause	Comparative marker pattern maps to comparative clause structure.	Needs manual review	comparative clause	Comparatives need rule support beyond basic dependency labels.		w11_ex3_11
CL-FUNC-01	Clause function	clausal subject	That he is rich doesn't mean anything to them.	That he is rich	FUNCTION: S	Subordinate clause functioning as subject maps to S.	OK	S	Clause type is nominal; sentence function is S.	ditto @ #103-#108	w11_ex2_11
CL-FUNC-02	Clause function	clausal direct object	He promised that every question would be answered.	that every question would be answered	FUNCTION: DO	Content clause selected by verb maps to DO.	Rule-based OK	DO	Clause type is nominal; sentence function is DO.		w12_ex5_08
CL-FUNC-03	Clause function	clausal subject complement	This is what he said.	what he said	FUNCTION: SC	Predicative content/wh-clause after copula maps to SC.	Rule-based OK	SC	Clause type is nominal; sentence function is SC.		w12_ex5_12
CL-FUNC-04	Clause function	clausal adverbial	She sang as she drove home.	as she drove home	FUNCTION: A	Adverbial clause maps to A.	Rule-based OK	A	Clause type is adverbial; sentence function is A.		w12_ex5_05
CL-FUNC-05	Clause function	clausal postmodifier	The man I spoke to is an accountant in our firm.	I spoke to	FUNCTION: postmodifier	Relative clause after a noun maps to postmodifier.	Rule-based OK	postmodifier	Clause type is relative; phrase function is postmodifier.		w12_ex4_04
CL-FUNC-06	Clause function	clausal object complement	I heard her sing.	sing	FUNCTION: OC	Non-finite clause predicated of an object can function as OC.	Needs manual review	OC or clausal object analysis, depending on course policy	This should be a flagged construction.		w07_oc_04
REVIEW-01	Quality-control flag	ambiguous PP attachment	George smashed a window in his father's car.	in his father's car	A or noun postmodifier	The same surface PP may be adverbial or nominal modifier depending on meaning.	Needs manual review	manual decision required	Do not blindly map all obl/PP spans to A.		w07_ex1_02
REVIEW-02	Quality-control flag	copular vs adverbial PP	The fight for the world championship title is tomorrow at 11 p.m.	tomorrow at 11 p.m.	SC or A, depending on analysis	Temporal predicate/adverbial cases need course-policy control.	Needs manual review	manual decision required	This type is useful as a regression-test case for the remapper.	SC?	w07_ex1_14
